"population","brood_year","mig_year","season","abund_est","abund_se","expansion_factor","abund_notes"
"CAT",2011,2013,"spring",5782,378.1,1,NA
"CAT",2012,2014,"fall",18088,670.2,0.9957805907173,NA
"CAT",2012,2014,"spring",12833,1092.4,0.9957805907173,NA
"CAT",2013,2015,"fall",10261,148,1,NA
"CAT",2013,2015,"spring",2064,432.7,1,NA
"CAT",2014,2016,"fall",23871,1504.2,0.952755905511811,NA
"CAT",2014,2016,"spring",4277,355.6,0.952755905511811,NA
"CAT",2015,2017,"fall",17811,1195.9,0.968468468468468,NA
"CAT",2015,2017,"spring",5832,348.8,0.968468468468468,NA
"CAT",2016,2018,"fall",17975,642.6,0.972602739726027,NA
"CAT",2016,2018,"spring",7970,473.7,0.972602739726027,NA
"CAT",2017,2019,"fall",9296,639.1,0.980392156862745,NA
"CAT",2017,2019,"spring",3888,464.7,0.980392156862745,NA
"LOS",1995,1997,"fall",2175,121.9,1,NA
"LOS",1995,1997,"spring",2321,284.2,1,NA
"LOS",1996,1998,"fall",11381,1210.7,1,NA
"LOS",1996,1998,"spring",6158,555.6,1,NA
"LOS",1997,1999,"fall",20990,1045.7,0.959183673469388,NA
"LOS",1997,1999,"spring",14735,930.3,0.959183673469388,NA
"LOS",1998,2000,"fall",10462,532.5,0.8,NA
"LOS",1998,2000,"spring",4850,190.7,0.8,NA
"LOS",1999,2001,"fall",13272,805.2,0.789473684210526,NA
"LOS",1999,2001,"spring",3967,354.8,0.789473684210526,NA
"LOS",2000,2002,"fall",18546,1460.8,0.828125,NA
"LOS",2000,2002,"spring",3359,321.6,0.828125,NA
"LOS",2001,2003,"fall",25462,995,0.748091603053435,NA
"LOS",2001,2003,"spring",13222,791.8,0.748091603053435,NA
"LOS",2002,2004,"fall",NA,NA,0.842105263157895,"No juvenile migrant data"
"LOS",2002,2004,"spring",NA,NA,0.842105263157895,"No juvenile migrant data"
"LOS",2003,2005,"fall",67675,5188,0.608247422680412,NA
"LOS",2003,2005,"spring",22095,2232.9,0.608247422680412,NA
"LOS",2004,2006,"fall",58718,6127.1,0.724867724867725,NA
"LOS",2004,2006,"spring",16148,965.7,0.724867724867725,NA
"LOS",2005,2007,"fall",42958,3020.4,0.797297297297297,NA
"LOS",2005,2007,"spring",14967,648.2,0.797297297297297,NA
"LOS",2006,2008,"fall",18937,1636.7,0.810810810810811,NA
"LOS",2006,2008,"spring",13274,1488.8,0.810810810810811,NA
"LOS",2007,2009,"fall",34550,4142.8,0.894230769230769,NA
"LOS",2007,2009,"spring",8990,661.8,0.894230769230769,NA
"LOS",2008,2010,"fall",31663,1538.5,0.901023890784983,NA
"LOS",2008,2010,"spring",21261,874.9,0.901023890784983,NA
"LOS",2009,2011,"fall",68402,7305.3,0.755813953488372,NA
"LOS",2009,2011,"spring",17275,710.8,0.755813953488372,NA
"LOS",2010,2012,"fall",103596,4472.1,0.994252873563218,NA
"LOS",2010,2012,"spring",35030,3087.1,0.994252873563218,NA
"LOS",2011,2013,"fall",63563,4758.1,0.953690303907381,NA
"LOS",2011,2013,"spring",18683,1716.2,0.953690303907381,NA
"LOS",2012,2014,"fall",78191,4284.9,0.646080760095012,NA
"LOS",2012,2014,"spring",27130,2020,0.646080760095012,NA
"LOS",2013,2015,"fall",24004,1098.5,0.721311475409836,NA
"LOS",2013,2015,"spring",9454,440.7,0.721311475409836,NA
"LOS",2014,2016,"fall",60214,5171.6,0.80561122244489,NA
"LOS",2014,2016,"spring",10881,537.7,0.80561122244489,NA
"LOS",2015,2017,"fall",42975,2640.5,0.638211382113821,NA
"LOS",2015,2017,"spring",16806,1794.7,0.638211382113821,NA
"LOS",2016,2018,"fall",61693,4562.8,0.737556561085973,NA
"LOS",2016,2018,"spring",7378,457.9,0.737556561085973,NA
"LOS",2017,2019,"fall",8651,538.6,0.870503597122302,NA
"LOS",2017,2019,"spring",4782,461.8,0.870503597122302,NA
"MIN",1999,2001,"fall",10224,1438.8,1,NA
"MIN",1999,2001,"spring",17985,1882.1,1,NA
"MIN",2000,2002,"fall",62708,5146.9,1,NA
"MIN",2000,2002,"spring",16292,2018.9,1,NA
"MIN",2001,2003,"fall",19674,1907.1,1,NA
"MIN",2001,2003,"spring",43473,5092.9,1,NA
"MIN",2002,2004,"fall",42978,2924.5,1,NA
"MIN",2002,2004,"spring",22207,3572.4,1,NA
"MIN",2003,2005,"fall",47924,1419.4,1,NA
"MIN",2003,2005,"spring",63466,13473,1,NA
"MIN",2004,2006,"fall",29492,3201.5,1,NA
"MIN",2004,2006,"spring",21467,2741.8,1,NA
"MIN",2005,2007,"fall",25875,2814.8,1,NA
"MIN",2005,2007,"spring",11844,857.1,1,NA
"MIN",2006,2008,"fall",33592,2723,1,NA
"MIN",2006,2008,"spring",43709,5481.6,1,NA
"MIN",2007,2009,"fall",27167,3423.5,1,NA
"MIN",2007,2009,"spring",16476,3011.2,1,NA
"MIN",2008,2010,"fall",75070,6882.7,1,NA
"MIN",2008,2010,"spring",90948,16868.9,1,NA
"MIN",2009,2011,"fall",41128,3321.9,1,NA
"MIN",2009,2011,"spring",32517,4474,1,NA
"MIN",2010,2012,"fall",77172,3398,1,NA
"MIN",2010,2012,"spring",18112,1760.7,1,NA
"MIN",2011,2013,"fall",43900,2508.7,1,NA
"MIN",2011,2013,"spring",17206,1768.4,1,NA
"MIN",2012,2014,"fall",51948,3362.2,1,NA
"MIN",2012,2014,"spring",18126,1257.7,1,NA
"MIN",2013,2015,"fall",9679,299.5,1,NA
"MIN",2013,2015,"spring",9945,363.8,1,NA
"MIN",2014,2016,"fall",45379,3055.1,1,NA
"MIN",2014,2016,"spring",21467,1827.6,1,NA
"MIN",2015,2017,"fall",62430,8958.2,1,NA
"MIN",2015,2017,"spring",13619,2383.7,1,NA
"MIN",2016,2018,"fall",36560,2284.7,1,NA
"MIN",2016,2018,"spring",16404,1728.1,1,NA
"MIN",2017,2019,"fall",9047,461.7,1,NA
"MIN",2017,2019,"spring",17410,1983.2,1,NA
"UGR",1992,1994,"fall",2616,95.9,1,NA
"UGR",1992,1994,"spring",22175,1629.1,1,NA
"UGR",1993,1995,"fall",4859,924,1,NA
"UGR",1993,1995,"spring",33866,6408.2,1,NA
"UGR",1994,1996,"fall",13,7.7,1,NA
"UGR",1994,1996,"spring",1105,98,1,NA
"UGR",1995,1997,"fall",68,14.3,1,NA
"UGR",1995,1997,"spring",14,15.3,1,NA
"UGR",1996,1998,"fall",2408,161.2,1,NA
"UGR",1996,1998,"spring",4514,317.3,1,NA
"UGR",1997,1999,"fall",2440,95.4,1,NA
"UGR",1997,1999,"spring",12418,1592.9,1,NA
"UGR",1998,2000,"fall",3839,196.9,1,NA
"UGR",1998,2000,"spring",10941,1056.1,1,NA
"UGR",1999,2001,"fall",NA,NA,NA,NA
"UGR",1999,2001,"spring",NA,NA,NA,NA
"UGR",2000,2002,"fall",1625,91.8,1,NA
"UGR",2000,2002,"spring",7508,788.3,1,NA
"UGR",2001,2003,"fall",1350,53.6,1,NA
"UGR",2001,2003,"spring",3572,239.8,1,NA
"UGR",2002,2004,"fall",467,41.3,1,NA
"UGR",2002,2004,"spring",4387,327.6,1,NA
"UGR",2003,2005,"fall",1094,62.8,1,NA
"UGR",2003,2005,"spring",5163,425.5,1,NA
"UGR",2004,2006,"fall",8589,697,0.913513513513514,NA
"UGR",2004,2006,"spring",29366,2970.7,0.913513513513514,NA
"UGR",2005,2007,"fall",5356,156.1,1,NA
"UGR",2005,2007,"spring",11753,871.4,1,NA
"UGR",2006,2008,"fall",4576,878.1,1,NA
"UGR",2006,2008,"spring",7108,1688.8,1,NA
"UGR",2007,2009,"fall",8,4.6,1,NA
"UGR",2007,2009,"spring",26,6.6,1,NA
"UGR",2008,2010,"fall",5642,358.6,0.8125,NA
"UGR",2008,2010,"spring",19913,1217,0.8125,NA
"UGR",2009,2011,"fall",11750,386,0.942307692307692,NA
"UGR",2009,2011,"spring",14922,1191.2,0.942307692307692,NA
"UGR",2010,2012,"fall",25262,324.7,0.705555555555556,NA
"UGR",2010,2012,"spring",53844,3128.2,0.705555555555556,NA
"UGR",2011,2013,"fall",9637,439.7,0.929515418502203,NA
"UGR",2011,2013,"spring",13610,515.4,0.929515418502203,NA
"UGR",2012,2014,"fall",17251,654.7,0.948453608247423,NA
"UGR",2012,2014,"spring",17376,2421.8,0.948453608247423,NA
"UGR",2013,2015,"fall",2624,41.1,0.82,NA
"UGR",2013,2015,"spring",14370,336,0.82,NA
"UGR",2014,2016,"fall",8190,229,0.784246575342466,NA
"UGR",2014,2016,"spring",20312,1453.4,0.784246575342466,NA
"UGR",2015,2017,"fall",9827,167.5,0.870967741935484,NA
"UGR",2015,2017,"spring",25879,1774.4,0.870967741935484,NA
"UGR",2016,2018,"fall",10798,199,0.933333333333333,NA
"UGR",2016,2018,"spring",12373,766.4,0.933333333333333,NA
"UGR",2017,2019,"fall",4259,112.8,1,NA
"UGR",2017,2019,"spring",8772,667.9,1,NA
