population,brood_year,release_year,n_smolt_released,surv_est,surv_var,surv_se,includes_parr,comments
LOS,2011,2013,265039,0.611985109,0.000802147,0.028322204,FALSE,NA
LOS,2012,2014,232924,0.668664088,0.00130913,0.036181895,FALSE,NA
LOS,2013,2015,249369,0.633100476,0.01752369,0.132377074,FALSE,NA
LOS,2014,2016,258267,0.58165152,0.000803782,0.028351051,FALSE,NA
LOS,2015,2017,267212,0.573705792,0.003670246,0.060582554,FALSE,NA
LOS,2016,2018,245784,0.60151493,0.00068492,0.026170979,FALSE,NA
LOS,2017,2019,262235,0.556128713,0.001788298,0.042288278,FALSE,NA
LOS,2018,2020,260884,0.558660479,0.003039944,0.055135689,FALSE,NA
LOS,2019,2021,241121,0.490538549,0.002576855,0.05076273,FALSE,NA
LOS,2020,2022,267596,0.582225569,0.003639803,0.060330779,FALSE,"There were also 29933 parr released Sept 2021. There was no survival estimate for this release group, and they are excluded from the [n.released] count."
UGR,1998,2000,1508,0.379000008,0.00054289,0.0233,FALSE,NA
UGR,1999,2001,2559,0.505999982,0.00053361,0.0231,FALSE,NA
UGR,2000,2002,228384,0.35362389,0.0011197,0.033461911,TRUE,Total release numbers reported here include 76941 parr released Oct 2001. Survival estimates for these parr are incorporated in the aggregate [surv_est] reported here.
UGR,2001,2003,237036,0.421196012,0.001366079,0.036960513,FALSE,NA
UGR,2002,2004,144919,0.379168328,0.000543867,0.023320949,FALSE,NA
UGR,2003,2005,105369,0.151011666,0.000338822,0.018407122,FALSE,NA
UGR,2004,2006,18977,0.533997715,0.005321551,0.072948962,FALSE,NA
UGR,2005,2007,139423,0.518289789,0.001930151,0.043933489,FALSE,NA
UGR,2006,2008,259932,0.405798129,0.000931075,0.030513513,FALSE,NA
UGR,2007,2009,146552,0.443772426,0.001351143,0.036757899,FALSE,NA
UGR,2008,2010,232349,0.436859909,0.004503193,0.067105831,FALSE,NA
UGR,2009,2011,242385,0.431872349,0.001744657,0.041769094,FALSE,NA
UGR,2010,2012,285738,0.455258349,0.001174853,0.03427613,FALSE,NA
UGR,2011,2013,290821,0.401141869,0.002154266,0.04641407,FALSE,NA
UGR,2012,2014,241169,0.424134765,0.001346255,0.036691346,FALSE,NA
UGR,2013,2015,224443,0.356843364,0.011331174,0.106447986,FALSE,NA
UGR,2014,2016,240332,0.436172643,0.001023537,0.031992762,FALSE,NA
UGR,2015,2017,255276,0.421431161,0.00548266,0.074044989,FALSE,NA
UGR,2016,2018,221814,0.348262468,0.000644185,0.025380808,FALSE,NA
UGR,2017,2019,250095,0.466445526,0.006652898,0.081565298,FALSE,NA
UGR,2018,2020,240123,0.458857471,0.009691221,0.098444,FALSE,NA
UGR,2019,2021,233643,0.51230064,0.017850584,0.133606078,FALSE,NA
UGR,2020,2022,269890,0.416405762,0.005824852,0.076320719,FALSE,NA
